"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Plxdc2",3.90337056536952e-07,0.423582666538455,0.763,0.735,0.00743943396053778,"MOL_1","Plxdc2"
"Hspa1b",4.06121862477407e-07,1.76658672129242,0.487,0.313,0.0077402765769569,"MOL_1","Hspa1b"
"Abcc5",4.94260818618481e-07,0.724112720246373,0.629,0.551,0.00942011694204962,"MOL_1","Abcc5"
"Atp8a1",5.49349137429315e-07,0.291756555357692,0.949,0.946,0.0104700452102653,"MOL_1","Atp8a1"
"Frmd4b",6.46412608514506e-07,0.526779652533678,0.648,0.601,0.012319977905678,"MOL_1","Frmd4b"
"Aatk",6.88442895526032e-07,0.289679421349271,0.989,0.99,0.0131210331458306,"MOL_1","Aatk"
"Pex5l",7.43502185563357e-07,0.371728305072783,0.918,0.906,0.014170408154652,"MOL_1","Pex5l"
"Srsf5",7.67266465800258e-07,0.483002210677636,0.724,0.687,0.0146233315716871,"MOL_1","Srsf5"
"Zfp36",8.08423917738565e-07,1.21012572964825,0.329,0.218,0.0154077514481793,"MOL_1","Zfp36"
"Atp11a",8.6456834964504e-07,0.462413518850444,0.788,0.752,0.0164778081758848,"MOL_1","Atp11a"
"Auts2",9.10948758383005e-07,1.06263776378842,0.361,0.25,0.0173617723860217,"MOL_1","Auts2"
"Ccnl2",9.3499724023127e-07,1.0196104823887,0.469,0.351,0.0178201124015678,"MOL_1","Ccnl2"
"Dusp10",1.10561326203484e-06,0.910748176196661,0.613,0.486,0.021071883161122,"MOL_1","Dusp10"
"Megf10",1.24809410057593e-06,0.805738936888516,0.571,0.471,0.0237874254628767,"MOL_1","Megf10"
"Crebzf",1.35289930335552e-06,1.14850019832946,0.417,0.289,0.0257849078226529,"MOL_1","Crebzf"
"Arc",1.60647614880928e-06,1.33405077922514,0.518,0.392,0.0306178289201562,"MOL_1","Arc"
"Lrp1b",3.25356513603396e-06,0.630402439717162,0.743,0.696,0.0620096979276712,"MOL_1","Lrp1b"
"Sppl2b",4.23258655731196e-06,1.00892523905234,0.333,0.228,0.0806688671958086,"MOL_1","Sppl2b"
"Il1rap",5.06162760697127e-06,0.471896050947573,0.69,0.648,0.0964695605612655,"MOL_1","Il1rap"
"Hspa1a",5.44360276629944e-06,1.7058923817209,0.428,0.262,0.103749625122901,"MOL_1","Hspa1a"
"Lhfpl2",7.29506290795804e-06,1.15238394154479,0.256,0.146,0.139036603962772,"MOL_1","Lhfpl2"
"Ddit4",8.2502994902706e-06,0.647292518239247,0.62,0.601,0.157242457985067,"MOL_1","Ddit4"
"Dock1",8.77215626312585e-06,0.476727440972263,0.838,0.794,0.167188526218916,"MOL_1","Dock1"
"Dock10",8.97881529710095e-06,0.448077364433466,0.86,0.834,0.171127240747447,"MOL_1","Dock10"
"Adamtsl4",9.24114073950256e-06,0.783686972243924,0.58,0.496,0.176126901354179,"MOL_1","Adamtsl4"
"Rbm25",1.21336317723366e-05,0.661589483617171,0.456,0.397,0.231254887948963,"MOL_1","Rbm25"
"Gprc5b",1.24808701211101e-05,0.251370273501311,0.967,0.979,0.237872903638238,"MOL_1","Gprc5b"
"Ubr2",1.42696093268368e-05,0.548522347349327,0.632,0.575,0.271964484160183,"MOL_1","Ubr2"
